Box_xDev Box_yDev Box_zDev Box_RotxDev Box_RotyDev Box_RotzDev Pin_xDev Pin_yDev Pin_zDev Pin_RotxDev Pin_RotyDev Pin_RotzDev
4.70818 5.31075 0.331694 -0.0596644 0.436764 -0.0911326 4.6256 6.91954 0.316495 -0.0513597 -0.0394439 0.178312
4.70422 5.30878 0.33395 -0.0524213 0.420538 -0.0688873 4.62621 6.91607 0.317897 -0.0578047 -0.034445 0.181363
4.70478 5.31125 0.330637 -0.0726548 0.430894 -0.0796672 4.62621 6.9139 0.320991 -0.0650818 -0.0337987 0.150677
4.70193 5.31055 0.328108 -0.0719098 0.434708 -0.104288 4.62369 6.90952 0.326473 -0.0803432 -0.0307378 0.144436
4.70599 5.30879 0.330282 -0.070264 0.432809 -0.110578 4.61853 6.91202 0.329444 -0.0757069 -0.0132146 0.156616
4.70357 5.31039 0.330364 -0.0772011 0.424834 -0.105683 4.62111 6.91638 0.331037 -0.0623983 -0.0223801 0.14282
4.70336 5.3108 0.330371 -0.087117 0.437608 -0.100519 4.62403 6.91147 0.335464 -0.0713538 -0.0314395 0.140497
4.70599 5.31093 0.32995 -0.0981133 0.436966 -0.102522 4.61733 6.90466 0.336959 -0.0967317 -0.0144879 0.134238
4.70449 5.30975 0.333824 -0.0607482 0.433823 -0.0782986 4.61955 6.90457 0.339043 -0.0943945 -0.0287063 0.121281
4.70492 5.3094 0.330459 -0.094062 0.440459 -0.121315 4.61398 6.91105 0.339438 -0.0765559 -0.0151322 0.125217
4.70462 5.30973 0.332607 -0.0563356 0.421624 -0.0877791 4.61761 6.90861 0.340787 -0.0876542 -0.0155495 0.135586
4.70582 5.31276 0.331387 -0.0607761 0.422267 -0.0897243 4.62068 6.91224 0.341553 -0.0851199 -0.020363 0.13765
4.70603 5.31036 0.333136 -0.0640448 0.432772 -0.0804855 4.62163 6.90948 0.343003 -0.0882792 -0.0174154 0.139794
4.70415 5.31085 0.331249 -0.0665297 0.425921 -0.109409 4.61743 6.90423 0.342717 -0.101194 -0.0135078 0.144788
4.70411 5.31233 0.330599 -0.0698178 0.434691 -0.103025 4.61404 6.90402 0.344357 -0.0998242 -0.00812061 0.160132
4.70433 5.30864 0.331402 -0.11198 0.435212 -0.135346 4.61666 6.90638 0.346604 -0.0964091 -0.0157459 0.132388
4.70327 5.31096 0.329668 -0.130471 0.436746 -0.124536 4.61646 6.90611 0.348897 -0.0964515 -0.0119929 0.128092
4.70462 5.31153 0.329814 -0.120696 0.441213 -0.15272 4.61182 6.9035 0.350422 -0.10881 0.00221046 0.149966
4.70229 5.31094 0.329219 -0.137069 0.431125 -0.17977 4.61524 6.90152 0.353532 -0.113242 -0.00654951 0.134016
4.70417 5.31041 0.332797 -0.168409 0.412076 -0.19348 4.61547 6.90344 0.352071 -0.107644 -0.00606891 0.130097
4.7029 5.31006 0.331109 -0.146929 0.417079 -0.167083 4.6045 6.90956 0.351556 -0.080882 0.0212612 0.133484
4.70255 5.31189 0.331214 -0.1225 0.427232 -0.180293 4.60738 6.90744 0.354039 -0.0920808 0.0175052 0.135659
4.70279 5.30988 0.33194 -0.15014 0.434145 -0.187381 4.60889 6.90424 0.357702 -0.100043 0.0056698 0.117821
4.70398 5.30993 0.333479 -0.163186 0.439546 -0.198683 4.60622 6.90968 0.358051 -0.0842243 0.0112796 0.0982322
4.70595 5.31143 0.329502 -0.205344 0.424741 -0.230502 4.61145 6.90597 0.360935 -0.102099 -0.00441122 0.121242
4.70662 5.30875 0.3343 -0.185257 0.419848 -0.212391 4.61744 6.90632 0.362547 -0.105958 -0.0133716 0.130151
4.70674 5.30951 0.333453 -0.201309 0.421127 -0.2106 4.61037 6.90279 0.363524 -0.115357 0.00692007 0.117092
4.70441 5.31168 0.331769 -0.211337 0.422777 -0.226424 4.60053 6.90532 0.365442 -0.0990815 0.0341417 0.0947031
