Box_xDev Box_yDev Box_zDev Box_RotxDev Box_RotyDev Box_RotzDev Pin_xDev Pin_yDev Pin_zDev Pin_RotxDev Pin_RotyDev Pin_RotzDev
4.71212 5.31752 0.335798 0.0582864 0.407884 0.00783069 4.62993 6.82489 0.295383 -0.0280355 -0.225162 0.0432114
4.71501 5.32133 0.335244 0.0306894 0.416709 -0.00816014 4.62718 6.82862 0.297439 -0.0194224 -0.218594 0.0679444
4.71573 5.31768 0.334722 0.0382667 0.418481 0.0119428 4.61569 6.83554 0.301704 -0.00172742 -0.168423 0.0720267
4.71411 5.32195 0.339437 0.0236853 0.436784 0.00645178 4.61887 6.83307 0.305673 -0.0089044 -0.166575 0.0672934
4.7132 5.3215 0.333778 0.0230238 0.434296 0.0110379 4.61553 6.82574 0.311377 -0.0346152 -0.170102 0.059167
4.71052 5.3202 0.332114 0.0392539 0.434277 0.00337586 4.60582 6.8349 0.308314 -0.010538 -0.162402 0.068072
4.71189 5.32183 0.331978 0.0152363 0.439891 0.0134342 4.61191 6.83385 0.315795 -0.0109601 -0.18673 0.0747422
4.70895 5.321 0.330538 0.0507443 0.431627 0.00118842 4.6196 6.82994 0.323728 -0.0336039 -0.198651 0.100864
4.71122 5.31974 0.333457 0.0354683 0.42184 0.00466969 4.61203 6.82339 0.324307 -0.0500787 -0.194732 0.108775
4.70995 5.31935 0.332872 0.0347395 0.437928 0.00394128 4.60677 6.82529 0.327911 -0.0476249 -0.188937 0.128794
4.71068 5.32156 0.33333 0.0153653 0.426623 -0.0174213 4.60912 6.83307 0.33761 -0.0134924 -0.204494 0.127633
4.70979 5.31926 0.333141 -0.0114647 0.442979 -0.0471382 4.61144 6.83067 0.345829 -0.0328207 -0.228933 0.129747
4.71144 5.31569 0.336512 -0.0241285 0.429152 -0.0669863 4.6042 6.83413 0.348826 -0.0259286 -0.194812 0.132311
4.71073 5.31778 0.336885 -0.0229742 0.427644 -0.0727492 4.60938 6.82999 0.35371 -0.0272982 -0.230682 0.133152
4.71248 5.31761 0.335679 -0.0446543 0.417375 -0.0650936 4.60987 6.83883 0.359593 -0.000335131 -0.226357 0.110037
4.71305 5.31811 0.337317 -0.0205379 0.431852 -0.0665822 4.59964 6.83288 0.359942 -0.0239661 -0.207325 0.135204
4.71349 5.32051 0.335531 -0.00506141 0.406459 -0.0574033 4.59424 6.82319 0.364744 -0.0586813 -0.1946 0.139694
4.71546 5.31977 0.338117 0.021956 0.422979 -0.0202795 4.60884 6.83004 0.37358 -0.0431011 -0.250895 0.159836
4.71436 5.31752 0.338355 -0.00693912 0.448332 -0.0333627 4.59057 6.82736 0.3715 -0.0407832 -0.18763 0.145404
4.71261 5.31758 0.339087 -0.0358575 0.42923 -0.0656342 4.58359 6.82512 0.373317 -0.0426038 -0.176962 0.138042
4.71309 5.31827 0.338621 0.0032374 0.421054 -0.0582635 4.58392 6.83079 0.374977 -0.0159897 -0.184606 0.120413
4.71321 5.31632 0.337763 -0.0438823 0.414369 -0.078378 4.59097 6.82639 0.381786 -0.0432984 -0.198342 0.155267
4.71532 5.31842 0.337864 -0.0372994 0.417791 -0.0789991 4.58476 6.82302 0.380036 -0.0578315 -0.171697 0.15813
4.71287 5.31891 0.336946 -0.0472896 0.436797 -0.0993299 4.59685 6.82897 0.382734 -0.0332451 -0.217855 0.125518
4.71046 5.317 0.334917 -0.0469277 0.416361 -0.0860409 4.5908 6.82421 0.379941 -0.0370757 -0.192292 0.110358
4.71383 5.31941 0.334486 -0.0522728 0.423807 -0.0928796 4.59299 6.82605 0.378751 -0.0420643 -0.206344 0.0970894
4.71183 5.31808 0.336334 -0.0532782 0.422853 -0.10567 4.59832 6.8236 0.382216 -0.0502566 -0.224401 0.101778
4.71531 5.31775 0.337104 -0.0768428 0.434437 -0.109631 4.58671 6.83054 0.382799 -0.0141103 -0.199685 0.0858179
4.71492 5.3178 0.337569 -0.0874225 0.42794 -0.127456 4.58931 6.83277 0.383774 0.000472471 -0.211043 0.0476337
4.71593 5.31945 0.336674 -0.0981451 0.434608 -0.12994 4.58888 6.83217 0.389636 -0.00525284 -0.21698 0.0416311
4.71557 5.31896 0.337245 -0.084496 0.420567 -0.139771 4.58275 6.83351 0.391574 -0.00480639 -0.205638 0.0719366
4.71457 5.31793 0.338856 -0.060435 0.41521 -0.130995 4.58537 6.83385 0.390715 0.0066361 -0.217247 0.0542187
4.71247 5.31901 0.336159 -0.0531795 0.414946 -0.113955 4.59073 6.83405 0.392102 0.0103091 -0.226654 0.0442113
4.71358 5.31909 0.336131 -0.0598827 0.412045 -0.0874736 4.58942 6.82949 0.392128 -0.00685131 -0.223387 0.0554901
4.71221 5.31761 0.334751 -0.053363 0.411763 -0.0821644 4.59152 6.83359 0.393834 0.0043697 -0.244645 0.0450433
4.71113 5.31773 0.336516 -0.0481495 0.423467 -0.103879 4.58575 6.83568 0.394252 0.0167589 -0.210221 0.0155137
