Box_xDev Box_yDev Box_zDev Box_RotxDev Box_RotyDev Box_RotzDev Pin_xDev Pin_yDev Pin_zDev Pin_RotxDev Pin_RotyDev Pin_RotzDev
-0.111523 0.0677514 -0.0850612 0.0177819 0.0011852 -0.0152112 0.0729364 -1.40208 -0.0426713 0.00305672 -0.00695689 0.0185226
-0.101271 0.0528828 -0.0993776 0.0100679 -0.00952069 -0.0134823 -0.0263592 -1.3252 0.0627905 -0.00403458 0.00523526 0.00240341
-0.0856122 0.0303433 0.138023 -0.00251222 0.0252556 -0.00906497 -0.161881 -1.21142 -0.085855 0.00284741 -0.0154161 -0.0200889
-0.0553344 0.00700901 -0.0606749 0.00298929 -0.00863687 -0.00521618 -0.0370449 -1.31406 -0.0232423 0.00338654 -0.00249391 -0.000429492
-0.0576121 0.00631802 -0.0127922 0.0042144 0.00213011 -0.00459313 0.0637025 -1.40313 -0.00627027 0.0114659 0.0111671 0.0164337
-0.033526 -0.0201989 0.0052716 0.00102928 0.00218506 0.000634091 0.0298866 -1.38226 0.15471 -0.0262577 -0.00460666 0.00941374
-0.0172283 -0.033068 0.00797201 0.00262689 0.00411852 0.00335297 -0.0294731 -1.32056 -0.015719 0.0164836 0.0152481 0.000157846
0.0124575 -0.0682652 -0.0142556 -0.0045735 -0.00680464 0.00935742 -0.0347296 -1.31595 0.0632289 -0.00547802 0.00317803 -0.00224746
-0.0899026 0.0384396 0.0901676 -0.000592209 0.0172607 -0.0115924 -0.0107802 -1.32864 -0.0746029 0.0154299 0.00223312 0.00140248
-0.130258 0.0804726 -0.174664 0.0135031 -0.0212334 -0.0195233 0.00516015 -1.34742 0.0359118 0.0120226 0.0203245 0.00335098
-0.136982 0.0762621 -0.0610483 0.0117262 -0.000112964 -0.0196929 -0.0195684 -1.3214 -0.125884 -0.00518773 -0.033475 -0.00206088
0.00925969 -0.0660496 -0.0388137 -0.00677128 -0.0143148 0.00854849 0.0471138 -1.38005 0.0583759 -0.00489755 0.00344474 0.00924398
-0.139283 0.075107 0.0829188 0.00771372 0.0239048 -0.0186634 -0.0429182 -1.30975 0.0555845 0.000624186 0.00945206 -0.00500995
0.0541082 -0.119146 0.0614168 -0.0105385 0.00206554 0.0184116 -0.021273 -1.32081 -0.0665267 -0.00236585 -0.0186456 -0.00336489
-0.0630537 0.00593374 -0.0265752 0.00122494 -0.00380073 -0.00552721 0.011076 -1.34964 -0.00938198 0.00797754 0.00622763 0.00226413
-0.164765 0.101781 -0.0162949 -0.00709852 -0.0101274 -0.0251376 0.0938183 -1.42062 0.0865452 -0.00234954 0.0122496 0.0148907
-0.0764184 0.0168263 0.0225751 0.00144694 0.00602563 -0.00754536 0.158853 -1.47261 -0.119493 0.0166185 -0.00522637 0.0251072
-0.0701381 0.0108091 -0.0271447 0.0147245 0.0095514 -0.00626323 0.153723 -1.46728 -0.100828 0.00689322 -0.0138413 0.0226582
-0.112775 0.0443144 0.0944866 -0.00807147 0.011028 -0.0139139 0.129677 -1.45456 -0.0551586 -0.00320041 -0.0174215 0.0182598
-0.0216311 -0.0327028 -0.101408 0.00436014 -0.0160738 0.0022443 -0.0187139 -1.33391 -0.0108197 0.0155941 0.0156114 -0.00434712
-0.0309916 -0.0304226 0.0333411 -0.00474946 0.00223498 0.000727229 -0.0428791 -1.31163 0.0453909 0.00666765 0.0153306 -0.0102064
-0.126827 0.0614467 0.03085 -0.00344592 0.00269544 -0.0174656 -0.0461865 -1.31072 -0.0156365 0.00709792 0.00362287 -0.0104982
-0.0291108 -0.0310462 0.0472642 0.000978976 0.0106641 0.00164213 0.177388 -1.48791 0.133525 0.00112358 0.0253346 0.0247572
-0.0448 -0.0164549 -0.0506612 0.00449813 -0.00518929 -0.00169104 -0.0301357 -1.31925 0.000356762 -0.0017312 -0.0038993 -0.0099159
-0.0262108 -0.0393838 0.0670416 0.00292349 0.0167139 0.00310984 0.0391613 -1.37032 -0.103646 0.00995414 -0.0102741 0.000570679
0.0352077 -0.100845 -0.0376569 -0.00100063 -0.00874289 0.0148736 0.10094 -1.42405 0.0157598 0.00208819 0.00362723 0.010441
-0.101892 0.0390883 0.0478427 0.000144294 0.00979063 -0.0128246 0.0793592 -1.40321 -0.0471823 0.00319717 -0.00772141 0.00634619
0.0838551 -0.139012 -0.117495 0.00934562 -0.0133269 0.0234102 0.0554793 -1.394 0.24037 -0.0109999 0.0320346 0.00379692
-0.0895936 0.0193924 0.1014 0.00616772 0.0265382 -0.00868925 -0.0163329 -1.32321 -0.0145363 0.00343565 -0.000609799 -0.0103454
-0.130339 0.0660868 -0.0700925 0.0155473 0.00132402 -0.0173832 -0.00569955 -1.33309 0.0162625 0.00147491 0.00304154 -0.00878701
-0.072227 0.00995604 -0.0617957 0.00135997 -0.0109256 -0.00777178 0.200301 -1.49914 -0.0494631 -0.00911132 -0.023235 0.022415
-0.151845 0.0809741 0.0166501 0.00033186 0.00397688 -0.0224655 0.0561597 -1.39009 0.0986958 -0.00523283 0.0106167 0.00023599
-0.0595197 -0.00232182 -0.073271 0.00173573 -0.0125114 -0.00582442 0.0951441 -1.42172 0.0889641 -0.00424079 0.0105103 0.00629256
-0.122961 0.0556046 0.00740235 0.0104158 0.0117068 -0.0173323 0.133712 -1.44839 -0.0390033 0.00357296 -0.00571483 0.0111098
-0.0360877 -0.0289161 -0.0224288 -0.00378339 -0.00839803 -0.000981593 0.00874492 -1.35169 0.0893654 -0.00287138 0.012358 -0.00836159
