Box_xDev Box_yDev Box_zDev Box_RotxDev Box_RotyDev Box_RotzDev Pin_xDev Pin_yDev Pin_zDev Pin_RotxDev Pin_RotyDev Pin_RotzDev
4.79116 5.2613 0.249666 -0.0114018 -0.0199383 0.0108561 4.77199 6.78491 0.386466 0.00340717 0.000224698 0.000943734
4.78878 5.26589 0.205424 -0.0084332 -0.0259453 0.0100026 4.76445 6.78889 0.412815 4.66891e-05 0.00105027 -0.000440521
4.80194 5.25521 0.251866 -0.00995989 -0.0179231 0.0130488 4.78173 6.77616 0.40057 0.000413396 -0.00111382 0.00169372
4.79705 5.25428 0.208445 -0.000233981 -0.0160781 0.012629 4.76664 6.78716 0.433168 -0.00339882 0.000343796 -0.000773458
4.79113 5.26487 0.219909 -0.00750896 -0.021733 0.0108409 4.79205 6.76815 0.407694 -0.00135453 -0.0020812 0.00260282
4.76822 5.28722 0.229729 -0.00531626 -0.0172191 0.00681237 4.79585 6.76778 0.424825 -0.00351075 -0.00158432 0.00275663
4.78251 5.2731 0.213244 -0.00296548 -0.0181947 0.0091627 4.79774 6.7646 0.396189 0.0020264 0.000391033 0.00270349
4.77671 5.27739 0.22313 -0.00770482 -0.0214872 0.00785137 4.78375 6.77335 0.40939 -0.00147126 -0.00191572 0.000538707
4.76392 5.29141 0.17922 0.00417676 -0.0176053 0.00585575 4.77857 6.77756 0.396535 0.00191061 0.000316028 -0.000338569
4.75443 5.30011 0.194317 -0.0015421 -0.0208538 0.0037402 4.79115 6.76986 0.389592 0.00275633 -4.51393e-05 0.00132644
4.77264 5.2814 0.193085 -0.00162071 -0.0212967 0.00699127 4.78817 6.77021 0.421123 -0.00148218 0.000564136 0.000785258
4.76288 5.29101 0.185275 0.00230262 -0.0185992 0.00571609 4.78735 6.76765 0.429597 -0.00225451 0.00121688 0.00095946
4.78499 5.27199 0.205182 0.000575603 -0.0161307 0.00957074 4.78692 6.77209 0.418698 0.000355502 0.00269739 3.27359e-05
4.81793 5.23905 0.233459 -0.00234172 -0.0132422 0.0162084 4.79849 6.7634 0.388764 0.00184843 -0.00142092 0.00104512
4.85499 5.20678 0.258453 -0.0082857 -0.0146472 0.0232882 4.78235 6.77294 0.394177 0.00153863 -0.000764158 -0.00125192
4.88261 5.18422 0.262543 -0.00364597 -0.00867688 0.0283184 4.80195 6.75841 0.410105 -0.000329092 -8.1446e-05 0.00108462
4.88981 5.17511 0.245669 -0.000786074 -0.0089119 0.030103 4.79597 6.76409 0.433761 -0.00448387 -0.00110878 -5.06728e-05
4.9055 5.16153 0.280447 -0.0023792 -0.00321701 0.0332805 4.81263 6.75396 0.380654 0.00505362 0.00143499 0.00252498
4.89904 5.17617 0.217811 0.00571672 -0.00748733 0.031251 4.79953 6.7625 0.412189 -0.0010231 -0.000698086 3.27423e-05
4.88191 5.18662 0.243561 -0.00247902 -0.0112004 0.0280078 4.79327 6.76429 0.391516 0.00303881 0.000940967 -0.000867925
4.88118 5.18371 0.245169 -0.00706889 -0.0160033 0.0278245 4.8161 6.7511 0.370834 0.00462715 -0.00122005 0.00234684
4.87826 5.18515 0.240623 -0.00726623 -0.0171712 0.0274132 4.82214 6.7431 0.440853 0.00101164 0.00842614 0.00366543
4.88304 5.18566 0.22083 -0.00624249 -0.0201669 0.0278478 4.80503 6.75604 0.39946 0.000231099 -0.00154857 0.000219562
4.89399 5.17556 0.232056 -0.00473757 -0.0160061 0.0298879 4.82123 6.7479 0.410051 -0.00113193 -0.00136252 0.00189751
4.89036 5.17651 0.249509 -0.00483956 -0.0123183 0.0297475 4.82573 6.74288 0.413284 -0.000961639 -0.000378471 0.00234451
