Box_xDev Box_yDev Box_zDev Box_RotxDev Box_RotyDev Box_RotzDev Pin_xDev Pin_yDev Pin_zDev Pin_RotxDev Pin_RotyDev Pin_RotzDev
4.70956 5.31628 0.269436 0.0292873 -0.00533144 0.000266237 4.7234 6.80101 0.360037 0.00415175 0.0256901 -0.0638044
4.71102 5.31215 0.273153 0.048211 -0.0196399 -0.00192622 4.72081 6.79331 0.361421 -0.0171646 0.03073 -0.0711568
4.70646 5.31448 0.272312 -0.000961843 0.00985185 -0.0167688 4.72149 6.79651 0.363654 -0.00578776 0.0341745 -0.0810458
4.70477 5.31121 0.269921 0.0232279 0.0168597 -0.0295322 4.7264 6.79358 0.365943 -0.027094 0.0263362 -0.0752635
4.70739 5.31426 0.270915 0.057319 -0.00206477 -0.0323032 4.72708 6.79782 0.368331 -0.0124446 0.0234646 -0.0827385
4.70529 5.31531 0.270394 0.0323052 -0.00676467 -0.0162445 4.71992 6.79665 0.36902 -0.0134204 0.0480458 -0.0690793
4.70643 5.31437 0.27144 -0.00463079 -0.0101163 -0.00182486 4.72606 6.79758 0.368913 -0.00890656 0.0253915 -0.0810131
4.70666 5.31595 0.273715 0.00864406 0.00527347 -0.025835 4.72342 6.79832 0.370988 -0.00350072 0.0191956 -0.0845138
4.707 5.3148 0.271879 0.00897786 0.000934367 -0.022503 4.72934 6.8008 0.371027 0.00256387 0.0219926 -0.0897183
4.70421 5.31088 0.27317 0.0470119 0.0033908 0.0199028 4.73201 6.7947 0.370363 -0.0242091 0.00549327 -0.0866014
4.70762 5.31408 0.275338 0.0896794 -0.00577056 0.0142074 4.73049 6.79963 0.372762 -0.00262594 0.0151866 -0.0788455
4.70525 5.3137 0.275071 0.0440529 0.00327621 0.00822584 4.72572 6.7956 0.37147 -0.0170431 0.027843 -0.0826023
4.7059 5.31442 0.271829 0.0183622 -0.00159344 0.0126879 4.73045 6.79883 0.373597 -0.00747081 0.00905056 -0.0836859
4.70909 5.31595 0.270515 0.0375046 0.00187007 0.0267265 4.73194 6.79828 0.373908 -0.00410089 -0.00493662 -0.101528
4.7071 5.31382 0.269792 0.0167813 0.00479897 0.0323939 4.732 6.79412 0.373485 -0.0163286 -0.00159802 -0.114395
4.70484 5.31373 0.269492 0.0183448 -0.000474991 0.0235881 4.72814 6.79586 0.371939 -0.020507 0.0196542 -0.149096
4.70712 5.31567 0.27364 0.00953067 -0.00770418 0.00611781 4.73113 6.79607 0.371065 -0.0128139 0.00470749 -0.130962
4.70597 5.31604 0.274149 0.00775565 -0.00979144 0.0077545 4.72616 6.79988 0.368425 -0.00755308 0.0301605 -0.130948
4.70685 5.31563 0.276806 0.0519116 -0.01074 0.0110515 4.73068 6.79241 0.366 -0.0275817 0.0114221 -0.123245
4.7077 5.3136 0.278208 0.0329174 -0.016973 0.021582 4.72574 6.7986 0.374513 -0.00563355 0.0215036 -0.140263
4.70861 5.31748 0.276893 0.00754664 -0.0112639 0.0242083 4.7241 6.7922 0.374876 -0.0285746 0.0229887 -0.12808
4.70273 5.31168 0.270601 0.00461817 -0.00710021 0.0243598 4.73436 6.79364 0.372544 -0.0199523 -0.00708355 -0.150421
4.70731 5.31295 0.27561 -0.0214219 -0.0190936 0.0363754 4.734 6.79434 0.369336 -0.0177382 -0.00554122 -0.150624
4.70669 5.31516 0.277012 0.0158515 -0.0448717 0.0216676 4.72742 6.8029 0.369728 -0.00164492 0.0336693 -0.149222
4.70683 5.31566 0.277771 0.0525963 -0.0139388 0.0235822 4.73054 6.78867 0.369138 -0.040352 0.0116482 -0.149074
4.70712 5.31497 0.276816 0.0370815 -0.0350879 0.0195774 4.72853 6.79745 0.374304 -0.00832645 0.0121672 -0.134818
4.70696 5.31463 0.271198 0.0176835 0.0144693 0.0152168 4.72376 6.79625 0.375476 -0.0112524 0.0258109 -0.146194
4.70354 5.31453 0.26958 0.0272169 -0.02077 -0.00361312 4.73005 6.78987 0.37703 -0.0351733 0.0108076 -0.127891
4.70347 5.31349 0.269107 0.0207076 0.000940892 0.0141174 4.71967 6.79378 0.375328 -0.0311471 0.039629 -0.140983
4.70639 5.31477 0.271465 0.0297344 0.00560975 0.0107834 4.72871 6.80067 0.369947 0.00156684 0.0198396 -0.126086
4.70652 5.31598 0.270635 0.0235689 0.0110582 -0.0237079 4.72215 6.79762 0.372198 -0.0142311 0.0299523 -0.121421
4.70683 5.31322 0.268781 0.0451173 -0.000854709 -0.0505064 4.72532 6.79947 0.37395 0.00110988 0.0286016 -0.127515
4.70636 5.31456 0.269838 0.0338528 0.00816343 -0.0286009 4.72891 6.79314 0.3725 -0.0255935 0.0161636 -0.148995
4.70487 5.31214 0.273119 0.0417875 0.00488429 -0.0397262 4.72903 6.79957 0.375591 -0.00990943 0.0138786 -0.161476
4.70561 5.31454 0.27441 0.0186277 0.0243309 -0.040009 4.73159 6.79631 0.369956 -0.0127617 0.0120812 -0.167624
4.70873 5.31569 0.272151 0.0109311 -0.000511839 -0.0378468 4.72921 6.79813 0.371432 -0.00840595 0.0137706 -0.173744
4.70914 5.31596 0.274494 0.00165938 0.00298573 -0.0466286 4.72412 6.8009 0.373123 -0.00172713 0.0204427 -0.207917
4.70381 5.31365 0.274844 -0.00198764 0.0137169 -0.0517058 4.72948 6.79657 0.373617 -0.0110379 0.0138801 -0.205383
4.7028 5.31183 0.275041 0.0119648 -0.00576115 -0.0661598 4.72704 6.79697 0.373598 -0.010808 0.0188702 -0.185132
4.70867 5.31556 0.272564 0.00603786 0.000844529 -0.00870111 4.72332 6.79923 0.375629 -0.00759656 0.0327106 -0.172876
4.70518 5.31519 0.272317 0.019337 -0.0020352 -0.00466696 4.72657 6.79321 0.374573 -0.027319 0.024696 -0.183644
4.70581 5.31599 0.269049 0.022519 -0.020709 0.00288092 4.72253 6.79636 0.376292 -0.0245401 0.0429166 -0.182496
4.70965 5.31684 0.271358 0.0346861 -0.0161936 0.000843937 4.72531 6.79804 0.372647 -0.0188351 0.0301779 -0.209323
4.70767 5.31491 0.270223 0.0142381 0.00703176 -0.03925 4.72543 6.79901 0.374418 -0.0174001 0.0251177 -0.230701
4.7076 5.31301 0.273028 0.00111536 0.00213279 -0.0384382 4.72731 6.79798 0.372427 -0.0145396 0.00683597 -0.249622
4.70764 5.31123 0.270429 0.0291073 0.0141214 -0.00843288 4.72906 6.80001 0.377638 -0.00984988 0.013669 -0.248857
4.70457 5.3124 0.267248 -0.00439917 -0.0154366 -0.0145797 4.72512 6.80185 0.377636 -0.00548693 0.0205826 -0.245561
4.70524 5.31601 0.272303 0.0119267 -0.0372523 -0.0072704 4.72695 6.80008 0.377471 -0.00516723 0.0257368 -0.271793
4.70521 5.31331 0.276907 0.0479148 -0.0187432 0.00501166 4.72328 6.79471 0.378252 -0.0247006 0.0273777 -0.296116
4.70365 5.31339 0.277882 0.038681 -0.0132817 -0.0127822 4.7297 6.79853 0.375901 -0.0105303 0.0162509 -0.32535
